gisid,landarea,buildingvalue,landvalue,owner_name,geometry,pct_bldg
132-51,4879,0,0,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1134995805153, -71.1135217468794, -71.1138146692688, -71.1138509540703, -71.1138661916077, -71.1138505269835, -71.1134995805153, 42.3694716451714, 42.3693262836245, 42.3693464759825, 42.3693493418747, 42.3693507650652, 42.3694920323881, 42.3694716451714)))",NA
161-73,55668,24437700,10276700,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1168517653962, -71.1169835665223, -71.1170989385249, -71.117133533372, -71.1172165187496, -71.1172312397365, -71.1172360997993, -71.1172411818897, -71.1172465188609, -71.1172518558318, -71.1172574106791, -71.1172631875542, -71.117268960278, -71.1172747700064, -71.1172803165514, -71.1172860851244, -71.1172918535315, -71.1172974002429, -71.1173031688162, -71.1173084850326, -71.117313805566, -71.1173188625846, -71.1173237307617, -71.1173283395746, -71.1173324674936, -71.117569142066, 
-71.1175996167277, -71.1176300543994, -71.1176609402896, -71.1176918631987, -71.1177230081507, -71.1177543751457, -71.1177857463006, -71.117817339498, -71.1178491588828, -71.1178812373146, -71.1179133159255, -71.1179456162472, -71.1179781059157, -71.1180108916357, -71.1179901097767, -71.1179632709497, -71.1179494794012, -71.1179405810694, -71.1177464576675, -71.117709042074, -71.1168517653962, 42.3699774796244, 42.3697535904258, 42.3695660053779, 42.3695057508748, 42.3693619631045, 42.3693386874508, 
42.3693366455668, 42.3693346044214, 42.3693332501429, 42.369331895864, 42.3693312283288, 42.3693305615321, 42.3693305807401, 42.369330600071, 42.3693313045448, 42.369332009757, 42.3693327424091, 42.3693334194419, 42.3693341246533, 42.3693362003971, 42.3693375626954, 42.3693396650172, 42.3693423978478, 42.3693451846969, 42.3693479425051, 42.3694845613616, 42.369499755092, 42.3695149486913, 42.3695294577534, 42.3695439669302, 42.3695584768366, 42.3695729874722, 42.3695868120943, 42.3696006374454, 42.3696137775205, 
42.3696269184472, 42.3696400319247, 42.3696532010112, 42.3696656572577, 42.3696781144782, 42.3697123464013, 42.3697568484854, 42.3697794412983, 42.3697945041559, 42.3701176600642, 42.3701854515737, 42.3699774796244)))",0.7039643490885626
129-54,43988,0,0,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1143390235581, -71.1143106983157, -71.1142905569154, -71.1141447980595, -71.1139254381305, -71.1139035894249, -71.1138902247235, -71.1138837828954, -71.1138699909806, -71.1138628754669, -71.1142323784266, -71.1142103783239, -71.1145838350259, -71.114689392338, -71.1146986814458, -71.1143520749059, -71.1143390235581, 42.3642565995229, 42.3640836275595, 42.3640856180758, 42.3640988495726, 42.3641186940495, 42.3639821027665, 42.3638983634834, 42.363856494648, 42.3637700098464, 42.3637233366079, 
42.3636930196217, 42.36354476554, 42.3635151467093, 42.3642577738105, 42.3643243488438, 42.3643554301286, 42.3642565995229)))",NA
143-4,19000,4036500,2158400,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1125565854013, -71.1129550353154, -71.1128674291499, -71.1124586363097, -71.112455869038, -71.1124533194488, -71.1124507786037, -71.11244849245, -71.1124464283508, -71.1124445905099, -71.1124427526692, -71.1124413589371, -71.1124402242685, -71.1124390896, -71.112438362031, -71.1124377084802, -71.1125261628582, -71.1125565854013, 42.3763498966688, 42.3764034027383, 42.3768092305477, 42.3768970364678, 42.3768956551098, 42.3768949879436, 42.3768928938896, 42.3768915141522, 42.3768901351628, 
42.3768880709178, 42.3768860066727, 42.3768839439238, 42.3768818820475, 42.3768798201713, 42.3768777596666, 42.3768756994112, 42.3764829091232, 42.3763498966688)))",0.6515843677864049
157-3,5314,1316000,1181300,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1186857717129, -71.1187191835806, -71.1187728373048, -71.118883841743, -71.1188744788834, -71.1188525198868, -71.1188520592122, -71.118782457464, -71.1186857717129, 42.3807314160286, 42.3804077267145, 42.3804099625701, 42.3804151324704, 42.3805132018941, 42.3807360846851, 42.380738827227, 42.3807358525483, 42.3807314160286)))",0.5269691266567893
166-37,1488,292200,1021400,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1240772249135, -71.1241289981151, -71.1242889128697, -71.1242350220864, -71.1240772249135, 42.3734684565303, 42.3733938497506, 42.3734554277611, 42.3735314271707, 42.3734684565303)))",0.222442143727162
136-20,8700,3537200,1085800,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1132159363742, -71.1133173256894, -71.1133431047793, -71.1136451654161, -71.1135898483053, -71.1135209627786, -71.1132159363742, 42.3724363508498, 42.3722322581931, 42.3721802074373, 42.3722635445922, 42.3723772378621, 42.3725190122761, 42.3724363508498)))",0.7651308674021199
172-60,27815,46216000,36761600,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1231257995717, -71.1233698911238, -71.1238263262568, -71.1240496763076, -71.123314153608, -71.1231257995717, 42.3789136950625, 42.3788259982175, 42.3786614754431, 42.3789558208859, 42.3792545764377, 42.3789136950625)))",0.5569695917934478
147-46,50018,10594700,5831900,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1120361456081, -71.1115932048691, -71.1115983933627, -71.1116020282967, -71.1116038128438, -71.11160397278, -71.111602019043, -71.11159825615, -71.1115928602261, -71.1115853876467, -71.1115762865908, -71.1115112466344, -71.1119366674122, -71.1119452665642, -71.1119894836746, -71.1123489895304, -71.1123836200077, -71.1124239603901, -71.112512324779, -71.1125829183207, -71.1125838015734, -71.1125839816138, -71.1125832733858, -71.1125818249339, -71.1125794882131, -71.112576674549, -71.1125729314016, 
-71.1125684892433, -71.1125633480741, -71.1125575407023, -71.1125512521837, -71.1123929259369, -71.1123492778987, -71.112325576385, -71.112300279169, -71.1122956317274, -71.1122797934176, -71.1120361456081, 42.380496518768, 42.3803790872818, 42.3803598963128, 42.3803345259426, 42.3803091218844, 42.3802830812055, 42.3802576919673, 42.380231583163, 42.3802062097439, 42.3801814878899, 42.3801567605371, 42.380013849309, 42.3800063668707, 42.3800043378243, 42.3799941967019, 42.3799137725682, 42.3800003274424, 
42.3801033659571, 42.3803300493345, 42.3805093375957, 42.3805162007429, 42.3805230615221, 42.38052991931, 42.3805367746052, 42.3805436269091, 42.3805497915895, 42.3805566391571, 42.3805627983532, 42.3805682691779, 42.3805737377587, 42.3805792047189, 42.3806740278065, 42.3806999493984, 42.380714275896, 42.3807292830287, 42.3807326974533, 42.3807141216113, 42.380496518768)))",0.6449721792702081
133-3,40790,22807800,19579200,PRESIDENT & FELLOWS OF HARVARD COLLEGE,"list(list(c(-71.1157359702846, -71.1157027864362, -71.1156930693975, -71.1156878655779, -71.1156860736337, -71.1156856920878, -71.115686194685, -71.1156878809745, -71.1156907149502, -71.1156944739086, -71.1156993758837, -71.1157052030074, -71.1157119922853, -71.1157198834049, -71.1157284776363, -71.1159544602944, -71.1159600445028, -71.1159660686156, -71.1159727958394, -71.1159799958083, -71.1159876440122, -71.1159955429261, -71.1160038859099, -71.1160124467635, -71.1160212624929, -71.116030041216, 
-71.1160390706507, -71.1160481000855, -71.11605708835, -71.116065887421, -71.1160746494864, -71.1161991391391, -71.1164208171835, -71.1166818487483, -71.1168483566117, -71.1167538789896, -71.1166973994356, -71.116462295154, -71.1162840151681, -71.1162774433698, -71.1162408295998, -71.1161939765287, -71.1161867057439, -71.1158687400384, -71.1157359702846, 42.3719261666948, 42.3717963983359, 42.3717572628154, 42.3717366648733, 42.3717270546268, 42.3717167630737, 42.3717071330524, 42.371697589308, 42.3716879670757, 
42.3716783753743, 42.37166947351, 42.3716605747363, 42.3716516791765, 42.3716441593345, 42.3716366418407, 42.3714871584753, 42.3714816889704, 42.3714769069524, 42.3714721272814, 42.3714687212254, 42.3714646306468, 42.3714619129418, 42.3714591967186, 42.3714571672407, 42.3714558246315, 42.3714544818982, 42.3714545120382, 42.3714545421775, 42.3714552581972, 42.3714566596034, 42.3714580608853, 42.3714886611347, 42.3715422239875, 42.3716055218166, 42.3716458656307, 42.3718534145059, 42.3719767096467, 
42.3719155563692, 42.3718696845836, 42.371885441087, 42.3719731293115, 42.3719613106787, 42.3719763788259, 42.3719279821782, 42.3719261666948)))",0.5380847901479228
